q_true,event,rmse_fixed,rmse_kalman_matched,rmse_kalman_half,rmse_kalman_double,rmse_kalman_wrong_regime,mean_P,mean_gain
0.0,1,0.124429,0.124429,0.124429,0.124429,0.124429,0.065140,0.326253
0.0,2,0.151086,0.140855,0.140855,0.160948,0.160948,0.048936,0.266423
0.0,3,0.170793,0.147887,0.147887,0.187900,0.187900,0.040160,0.202203
0.0,4,0.164125,0.141270,0.141270,0.180896,0.180896,0.033057,0.188292
0.0,5,0.165000,0.130407,0.130407,0.181815,0.181815,0.027597,0.172089
0.0,6,0.169169,0.124174,0.124174,0.193035,0.193035,0.023198,0.162671
0.0,7,0.178807,0.122635,0.122635,0.201642,0.201642,0.020525,0.129475
0.0,8,0.177819,0.120718,0.120718,0.198596,0.198596,0.018289,0.119716
0.0,9,0.177976,0.116927,0.116927,0.200412,0.200412,0.016346,0.113651
0.0,10,0.183701,0.112880,0.112880,0.204069,0.204069,0.014632,0.106765
0.0,11,0.183826,0.106782,0.106782,0.201476,0.201476,0.013364,0.089999
0.0,12,0.184835,0.103572,0.103572,0.208261,0.208261,0.012386,0.080866
0.0,13,0.182344,0.097767,0.097767,0.200640,0.200640,0.011443,0.079854
0.0,14,0.178244,0.095144,0.095144,0.198197,0.198197,0.010683,0.074145
0.0,15,0.171475,0.092869,0.092869,0.188706,0.188706,0.009943,0.074464
0.1,1,0.134692,0.134692,0.134692,0.134692,0.134692,0.076156,0.308056
0.1,2,0.165225,0.161801,0.159951,0.170736,0.159396,0.066263,0.294741
0.1,3,0.184336,0.178663,0.176237,0.191994,0.175631,0.061004,0.261648
0.1,4,0.202468,0.194851,0.191876,0.213683,0.191441,0.057373,0.251364
0.1,5,0.207723,0.196756,0.195591,0.217075,0.196524,0.054233,0.246091
0.1,6,0.214616,0.202984,0.201629,0.228249,0.203394,0.053256,0.218127
0.1,7,0.207386,0.201123,0.203537,0.221635,0.208229,0.051822,0.241408
0.1,8,0.213029,0.203551,0.204420,0.229719,0.209758,0.050902,0.236407
0.1,9,0.214226,0.207365,0.215270,0.221324,0.225367,0.050220,0.236896
0.1,10,0.198933,0.188637,0.202610,0.205380,0.219537,0.049075,0.244662
0.1,11,0.210264,0.195586,0.206141,0.217289,0.223882,0.047642,0.253030
0.1,12,0.201380,0.193583,0.205492,0.212290,0.226061,0.048215,0.220852
0.1,13,0.196662,0.187394,0.200322,0.205906,0.224109,0.049175,0.216308
0.1,14,0.207900,0.199663,0.215584,0.220736,0.243473,0.049536,0.221451
0.1,15,0.209354,0.197280,0.214348,0.220516,0.248233,0.048545,0.243752
0.3,1,0.260767,0.260767,0.260767,0.260767,0.260767,0.156533,0.305557
0.3,2,0.324095,0.317297,0.321294,0.350900,0.326950,0.195025,0.384221
0.3,3,0.346656,0.335802,0.343882,0.393185,0.360189,0.208151,0.438755
0.3,4,0.365348,0.341668,0.365832,0.374982,0.403300,0.213930,0.456358
0.3,5,0.362549,0.336807,0.363647,0.386798,0.421427,0.214169,0.470041
0.3,6,0.397367,0.372456,0.399804,0.407509,0.473798,0.214390,0.476967
0.3,7,0.409500,0.384703,0.407537,0.442224,0.510189,0.217846,0.461039
0.3,8,0.394840,0.354736,0.397840,0.388456,0.538491,0.216603,0.485942
0.3,9,0.392944,0.355251,0.394750,0.413282,0.559042,0.215885,0.475737
0.3,10,0.396323,0.361102,0.396008,0.407495,0.578442,0.217866,0.453404
0.3,11,0.358504,0.326771,0.361166,0.382941,0.566604,0.212450,0.492630
0.3,12,0.344988,0.313616,0.341748,0.375208,0.568816,0.211994,0.478648
0.3,13,0.401607,0.363290,0.407296,0.403779,0.671222,0.212906,0.466656
0.3,14,0.408314,0.374314,0.414856,0.406232,0.690743,0.212528,0.463506
0.3,15,0.407676,0.358597,0.413558,0.386832,0.723692,0.215446,0.476482
