sigma_est,rmse_hours,rmse_hours_portfolio,mean_overlap20,mean_spearman,prob_top10_change_gt3,mean_induced_logV_sd,n_reps,variant,gamma,zeta
0.05,4.704837298979942,7.597108608020588,0.9701,0.9984736367363674,0.0,0.052598555906923805,500,gamma_-0.2,-0.2,0.5
0.1,9.47152315038159,15.387467853344582,0.9446999999999999,0.994620596676555,0.0,0.10573340433267181,500,gamma_-0.2,-0.2,0.5
0.15,14.362844611955692,23.3015571868423,0.9235,0.9885623568000388,0.006,0.15920687298637648,500,gamma_-0.2,-0.2,0.5
0.2,19.4435032412828,31.694786107285207,0.9007999999999999,0.9804684441550299,0.012,0.21350367510416404,500,gamma_-0.2,-0.2,0.5
0.3,30.44763693887205,49.49201012635821,0.8535,0.9584803788920243,0.106,0.32677369358196395,500,gamma_-0.2,-0.2,0.5
0.4,43.08303363243592,69.55843824611667,0.7998999999999999,0.9304609278151605,0.252,0.4461634573324328,500,gamma_-0.2,-0.2,0.5
0.5,58.06276149795093,92.58623472819689,0.7613,0.8970834105105757,0.374,0.5794272018662694,500,gamma_-0.2,-0.2,0.5
0.6,76.27748752175142,120.41352627870714,0.7188000000000001,0.8598023695825193,0.49,0.7303329691519123,500,gamma_-0.2,-0.2,0.5
0.7,98.88547552790122,159.64180056879957,0.6854000000000001,0.8228869908110846,0.67,0.9042989646623489,500,gamma_-0.2,-0.2,0.5
0.8,127.44271363337843,206.7137853201152,0.6533,0.784831537756554,0.728,1.0846793840916376,500,gamma_-0.2,-0.2,0.5
0.9,164.0944646126234,275.3418305109792,0.6273999999999998,0.7495349371729012,0.772,1.3062593502513047,500,gamma_-0.2,-0.2,0.5
1.0,211.86178524106543,356.16739756678044,0.6029000000000001,0.7141249716614814,0.826,1.5599119938650825,500,gamma_-0.2,-0.2,0.5
1.1,275.07647176075585,446.5618544339582,0.5892999999999999,0.6821619130308951,0.878,1.856890827016355,500,gamma_-0.2,-0.2,0.5
1.2,360.05051073411653,537.1746659615534,0.5692,0.6530095506837422,0.85,2.146134916097425,500,gamma_-0.2,-0.2,0.5
